episode_index,task_index,length,file,score_total,legacy_score_total,score_detection_quality,score_data_value,score_engineering_reliability,scoring_version,data_value_reasons,engineering_reliability_reasons,score_structural,score_vision_single,score_vision_vision,score_state,score_temporal,score_cross_modal,soft_penalty_total,soft_penalties,finding_count,critical_count,high_confidence_count,suspicious_count,ood_count,geometry_status,geometry_reason,geometry_module_statuses,phase_status,phase_reason,phase_segments
10,1,196,data/chunk-000/episode_000010.parquet,92.4,98.58,69.01,16.75,6.64,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.42:-0.355']",25.0,19.79,10.0,15.0,13.79,15.0,1.42,"{'vision_single': 0.215, 'temporal': 1.205}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
11,0,202,data/chunk-000/episode_000011.parquet,92.62,98.81,69.17,16.75,6.7,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.188:-0.297']",25.0,19.55,10.0,15.0,14.26,15.0,1.188,"{'vision_single': 0.447, 'temporal': 0.741}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
12,1,172,data/chunk-000/episode_000012.parquet,92.22,98.38,68.87,16.75,6.6,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.619:-0.40475']",25.0,19.66,10.0,15.0,13.72,15.0,1.619,"{'vision_single': 0.344, 'temporal': 1.275}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
13,0,304,data/chunk-000/episode_000013.parquet,92.88,99.08,69.36,16.75,6.77,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.911:-0.22775']",25.0,19.87,10.0,15.0,14.21,15.0,0.911,"{'vision_single': 0.126, 'temporal': 0.785}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
14,0,268,data/chunk-000/episode_000014.parquet,92.76,98.96,69.27,16.75,6.74,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.048:-0.262']",25.0,19.68,10.0,15.0,14.28,15.0,1.048,"{'vision_single': 0.324, 'temporal': 0.724}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
15,1,181,data/chunk-000/episode_000015.parquet,92.98,99.18,69.43,16.75,6.8,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.815:-0.20375']",25.0,19.79,10.0,15.0,14.39,15.0,0.815,"{'vision_single': 0.207, 'temporal': 0.608}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
16,1,180,data/chunk-000/episode_000016.parquet,93.04,99.26,69.48,16.75,6.81,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.743:-0.18575']",25.0,19.92,10.0,15.0,14.34,15.0,0.743,"{'vision_single': 0.079, 'temporal': 0.664}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
17,1,170,data/chunk-000/episode_000017.parquet,92.79,98.98,69.29,16.75,6.75,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:1.018:-0.2545']",25.0,19.62,10.0,15.0,14.36,15.0,1.018,"{'vision_single': 0.378, 'temporal': 0.64}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
18,0,217,data/chunk-000/episode_000018.parquet,93.11,99.33,69.53,16.75,6.83,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.672:-0.168']",25.0,19.85,10.0,15.0,14.48,15.0,0.672,"{'vision_single': 0.153, 'temporal': 0.519}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
19,0,164,data/chunk-000/episode_000019.parquet,93.02,99.23,69.46,16.75,6.81,official_70_20_10_v1,"['phase_detection_unavailable:reference_active_window_missing:-2.5', 'geometry_submodules_degraded:unavailable=1,fail=0:-0.75']","['geometry_status_warning:-1', 'module_status_penalty:-1', 'phase_unavailable:reference_active_window_missing:-1', 'reference_soft_penalties:0.768:-0.192']",25.0,19.8,10.0,15.0,14.43,15.0,0.768,"{'vision_single': 0.198, 'temporal': 0.57}",0,0,0,0,0,warning,partial_module_unavailable,"{'arms': {'left': 'ok', 'right': 'ok'}, 'bimanual': 'unavailable', 'state_vision': {'left': 'ok', 'right': 'ok'}}",unavailable,reference_active_window_missing,[]
